plot_id,x,y,project_id,Strata
691,-892740,2068290,1211,99
692,-192360,2042580,1211,99
693,-72750,2187690,1211,99
694,585450,2424630,1211,99
695,180,1987830,1211,99
696,-1148160,1862910,1211,99
697,-1577340,1934340,1211,99
698,1585860,1962210,1211,99
699,-863040,1582230,1211,99
700,1232370,1472520,1211,99
701,868470,2612250,1211,99
702,305820,1751340,1211,99
703,-1530120,2831580,1211,99
704,-723060,924360,1211,99
705,-313800,2698380,1211,99
706,-1423770,2523600,1211,99
707,587700,2213610,1211,99
708,-431190,2496030,1211,99
709,-60000,1286460,1211,99
710,1464510,696750,1211,99
711,-1001010,2634720,1211,99
712,-1856070,2540010,1211,99
713,-1471470,1866450,1211,99
714,-1776240,2621820,1211,99
715,-1554360,1113840,1211,99
716,-583320,1689720,1211,99
717,-716370,2172120,1211,99
718,1985490,2608560,1211,99
719,1373250,1540500,1211,99
720,-2101170,2584620,1211,99
721,516600,1757790,1211,99
722,-453510,1746630,1211,99
723,-1436580,2875680,1211,99
724,-1926060,2146920,1211,99
725,315690,2488680,1211,99
726,-1291590,1307220,1211,99
727,-251130,1864560,1211,99
728,4260,1350270,1211,99
729,1391940,1713510,1211,99
730,-489060,1170150,1211,99
731,397890,2220840,1211,99
732,-230190,2242350,1211,99
733,-32370,901680,1211,99
734,145350,1290330,1211,99
735,862380,2336100,1211,99
736,-1101390,2968350,1211,99
737,103560,1791540,1211,99
738,1020720,1491720,1211,99
739,92580,1051710,1211,99
740,-69240,2278260,1211,99
741,626550,1070880,1211,99
742,-2101620,2919480,1211,99
743,-507570,1508670,1211,99
744,-982710,2202570,1211,99
745,-2131800,2314410,1211,99
746,139350,804600,1211,99
747,466080,2102340,1211,99
748,-2088660,2846850,1211,99
749,-288150,2890620,1211,99
750,-2215470,1766220,1211,99
751,1384350,611550,1211,99
752,849090,2610000,1211,99
753,-178740,2387430,1211,99
754,1248150,1697460,1211,99
755,-130920,2074230,1211,99
756,2034090,2629350,1211,99
757,1866390,2267250,1211,99
758,-1304340,2223210,1211,99
759,141570,1832520,1211,99
760,-465900,1716930,1211,99
761,408780,891930,1211,99
762,1592010,1680060,1211,99
763,-744120,1029390,1211,99
764,-802920,1562340,1211,99
765,-656580,775740,1211,99
766,-779430,1799670,1211,99
767,1120530,1700130,1211,99
768,-593760,1475160,1211,99
769,-1141380,1394250,1211,99
770,301980,1713690,1211,99
771,723870,1639350,1211,99
772,-1654260,2592690,1211,99
773,-1090800,2001990,1211,99
774,295170,2209860,1211,99
775,-263280,478920,1211,99
776,-1963800,1948020,1211,99
777,-1347180,2428470,1211,99
778,9330,2582970,1211,99
779,951360,2308950,1211,99
780,1548150,555690,1211,99
781,-304950,2184510,1211,99
782,24780,1661850,1211,99
783,-1763850,2694390,1211,99
784,-2094210,2910420,1211,99
785,-1857690,2081520,1211,99
786,362070,2205570,1211,99
787,-1514970,2732310,1211,99
788,-1043850,1356990,1211,99
789,1677420,2224800,1211,99
790,-1436430,2417580,1211,99
791,-2247360,2321940,1211,99
792,-743220,1438770,1211,99
793,1550190,1987230,1211,99
794,157410,993090,1211,99
795,201240,2520690,1211,99
796,-1865520,1986660,1211,99
797,-1773570,3053160,1211,99
798,-1920030,2969010,1211,99
799,163770,1793040,1211,99
800,1372380,712140,1211,99
801,-1990080,2375370,1211,99
